command,action,code,,,,,,
Avoid staying on the straight road through the countryside,don’t_forward,15,,,,,,
Stray from moving directly along the railway tracks,don’t_forward,15,,,,,,
Refrain from going straight to your final destination,don’t_forward,15,,,,,,
Avoid retreating,don’t_back,16,,,,,,
Refrain from moving rearward,don’t_back,16,,,,,,
Don't go in reverse,don’t_back,16,,,,,,
Resist backtracking,don’t_back,16,,,,,,
Avoid reversing your direction,don’t_back,16,,,,,,
Stay where you are,don’t_back,16,,,,,,
Don't step back,don’t_back,16,,,,,,
Avoid regressing,don’t_back,16,,,,,,
Refrain from moving in a backward motion,don’t_back,16,,,,,,
Resist taking a step back,don’t_back,16,,,,,,
Avoid going backward,don’t_back,16,,,,,,
Stay in your current position,don’t_back,16,,,,,,
Don't reverse course,don’t_back,16,,,,,,
Refrain from retreating backward,don’t_back,16,,,,,,
Avoid moving away from the front,don’t_back,16,,,,,,
Don't move in the opposite direction,don’t_back,16,,,,,,
Resist stepping in reverse,don’t_back,16,,,,,,
Refrain from withdrawal,don’t_back,16,,,,,,
Avoid moving towards the rear,don’t_back,16,,,,,,
Don't back away,don’t_back,16,,,,,,
Resist going in a backward trajectory,don’t_back,16,,,,,,
Avoid moving back from your current position,don’t_back,16,,,,,,
Don't go rearward,don’t_back,16,,,,,,
Stay where you are or move forward,don’t_back,16,,,,,,
Resist falling back,don’t_back,16,,,,,,
Avoid retracing your steps,don’t_back,16,,,,,,
Don't move towards the back,don’t_back,16,,,,,,
Refrain from drawing back,don’t_back,16,,,,,,
Stay in your current position or move forward,don’t_back,16,,,,,,
Don't move back along the path,don’t_back,16,,,,,,
Avoid stepping away from the forward direction,don’t_back,16,,,,,,
Resist reversing your movement,don’t_back,16,,,,,,
Refrain from retreating from the current position,don’t_back,16,,,,,,
Don't go back,don’t_back,16,,,,,,
Stay in your current position or shift forward,don’t_back,16,,,,,,
Avoid moving to the back,don’t_back,16,,,,,,
Don't pull back,don’t_back,16,,,,,,
Refrain from moving in the opposite direction from the front,don’t_back,16,,,,,,
Avoid retreating to a previous location,don’t_back,16,,,,,,
Don't step in the opposite direction,don’t_back,16,,,,,,
Resist moving in a rearward motion,don’t_back,16,,,,,,
Avoid withdrawing from the front,don’t_back,16,,,,,,
Stay where you are or fall behind,don’t_back,16,,,,,,
Don't take steps backward,don’t_back,16,,,,,,
Resist going in the reverse direction,don’t_back,16,,,,,,
Refrain from retreating from the current point,don’t_back,16,,,,,,
Don't step back from the current position,don’t_back,16,,,,,,
Avoid moving toward the rear,don’t_back,16,,,,,,
Stay in your current position or shift away from the front,don’t_back,16,,,,,,
Don't go in a backward trajectory,don’t_back,16,,,,,,
Resist withdrawing yourself,don’t_back,16,,,,,,
Avoid taking a step away from the forward direction,don’t_back,16,,,,,,
Refrain from moving in the opposite path,don’t_back,16,,,,,,
Avoid retreating along the path,don’t_back,16,,,,,,
Don't step back from the current location,don’t_back,16,,,,,,
Resist going back from the current point,don’t_back,16,,,,,,
Refrain from moving in a rearward direction,don’t_back,16,,,,,,
Avoid drawing away from the front,don’t_back,16,,,,,,
Stay where you are or step backward on the path,don’t_back,16,,,,,,
Avoid retreating to a preceding point,don’t_back,16,,,,,,
Don't move away from the forward trajectory,don’t_back,16,,,,,,
Resist going in the opposite way,don’t_back,16,,,,,,
Avoid retreating to a previous spot,don’t_back,16,,,,,,
Don't move in the direction opposite to forward,don’t_back,16,,,,,,
Stay in your current position or fall back from the current position,don’t_back,16,,,,,,
Refrain from withdrawing to a prior location,don’t_back,16,,,,,,
Avoid taking steps in a backward motion,don’t_back,16,,,,,,
Don't move in the reverse trajectory,don’t_back,16,,,,,,
Resist stepping back to a previous spot,don’t_back,16,,,,,,
Avoid going away from the front,don’t_back,16,,,,,,
Stay in your current position or retreat from the current spot,don’t_back,16,,,,,,
Don't move in a rearward trajectory,don’t_back,16,,,,,,
Resist retreating along the route,don’t_back,16,,,,,,
Avoid shifting backward from the current location,don’t_back,16,,,,,,
Don't step away from the forward trajectory,don’t_back,16,,,,,,
Avoid moving in the opposite course,don’t_back,16,,,,,,
Stay in your current position or withdraw to a preceding point,don’t_back,16,,,,,,
Don't go back from the current place,don’t_back,16,,,,,,
Resist retreating to a former location,don’t_back,16,,,,,,
Avoid moving in a backward path,don’t_back,16,,,,,,
Stay in your present position or step back from the present position,don’t_back,16,,,,,,
Don't go in the reverse course,don’t_back,16,,,,,,
Avoid moving to the rear from the current point,don’t_back,16,,,,,,
Stay in your current position or retreat from the current spot,don’t_back,16,,,,,,
Refrain from withdrawing to a prior spot,don’t_back,16,,,,,,
Don't take steps in the reverse direction,don’t_back,16,,,,,,
Resist moving away from the front direction,don’t_back,16,,,,,,
Avoid retreating along the route taken,don’t_back,16,,,,,,
Stay where you are or step backward on the path traveled,don’t_back,16,,,,,,
Avoid going back to a previous point,don’t_back,16,,,,,,
Don't move in a rearward motion,don’t_back,16,,,,,,
Stay in your current position or retreat to a former point,don’t_back,16,,,,,,
Resist falling back from the present position,don’t_back,16,,,,,,
Avoid withdrawing to a preceding spot,don’t_back,16,,,,,,
Don't take steps in the reverse direction,don’t_back,16,,,,,,
Refrain from moving in the opposite way from forward,don’t_back,16,,,,,,
Avoid retreating along the course traveled,don’t_back,16,,,,,,
Stay in your current position or step back to a former spot,don’t_back,16,,,,,,
Don't go away from the forward trajectory,don’t_back,16,,,,,,
Avoid moving in the reverse path,don’t_back,16,,,,,,
Avoid shifting to the left,don’t_left,17,,,,,,
Refrain from veering toward the left side,don’t_left,17,,,,,,
Don't glide leftward,don’t_left,17,,,,,,
Steer away from a leftward direction,don’t_left,17,,,,,,
Resist moving your position to the left,don’t_left,17,,,,,,
Stay clear of a leftward motion,don’t_left,17,,,,,,
Avoid sliding to the left,don’t_left,17,,,,,,
Don't lean to the left,don’t_left,17,,,,,,
Resist adjusting your course to the left,don’t_left,17,,,,,,
Avoid veering left,don’t_left,17,,,,,,
Refrain from maneuvering towards the left,don’t_left,17,,,,,,
Don't tilt left,don’t_left,17,,,,,,
Avoid directing yourself to the left,don’t_left,17,,,,,,
Resist shifting horizontally to the left,don’t_left,17,,,,,,
Abstain from adjusting your alignment to the left,don’t_left,17,,,,,,
Avoid turning leftward,don’t_left,17,,,,,,
Refrain from guiding your movement to the left,don’t_left,17,,,,,,
Do not head left,don’t_left,17,,,,,,
Stay away from navigating to the left side,don’t_left,17,,,,,,
Avoid offsetting your position to the left,don’t_left,17,,,,,,
Refrain from progressing towards the left,don’t_left,17,,,,,,
Don't veer off to the left,don’t_left,17,,,,,,
Avoid aligning yourself to the left,don’t_left,17,,,,,,
Don't lean in a leftward direction,don’t_left,17,,,,,,
Resist steering left,don’t_left,17,,,,,,
Avoid progressing leftward,don’t_left,17,,,,,,
Glide away from the left side,don’t_left,17,,,,,,
Don't maneuver left,don’t_left,17,,,,,,
Avoid shifting laterally to the left,don’t_left,17,,,,,,
Refrain from adjusting your heading to the left,don’t_left,17,,,,,,
Don't tilt in a leftward manner,don’t_left,17,,,,,,
Avoid turning in the left direction,don’t_left,17,,,,,,
Refrain from directing your movement to the left,don’t_left,17,,,,,,
Avoid moving horizontally to the left,don’t_left,17,,,,,,
Slide away from the leftward direction,don’t_left,17,,,,,,
Don't guide yourself to the left,don’t_left,17,,,,,,
Resist offsetting to the left side,don’t_left,17,,,,,,
Don't veer your trajectory leftward,don’t_left,17,,,,,,
Avoid shifting towards the left side,don’t_left,17,,,,,,
Refrain from leaning left,don’t_left,17,,,,,,
Resist adjusting your position to the left,don’t_left,17,,,,,,
Stay away from navigating leftward,don’t_left,17,,,,,,
Don't maneuver in a leftward direction,don’t_left,17,,,,,,
Avoid heading in a leftward trajectory,don’t_left,17,,,,,,
Glide away from progressing in a leftward motion,don’t_left,17,,,,,,
Resist turning towards the left side,don’t_left,17,,,,,,
Don't steer in a leftward manner,don’t_left,17,,,,,,
Avoid moving leftward on the path,don’t_left,17,,,,,,
Refrain from tilting to the left side,don’t_left,17,,,,,,
Avoid shifting your course to the left,don’t_left,17,,,,,,
Slide away from the left side laterally,don’t_left,17,,,,,,
Don't veer your trajectory leftward,don’t_left,17,,,,,,
Avoid guiding your movement to the left side,don’t_left,17,,,,,,
Resist leaning in a leftward direction,don’t_left,17,,,,,,
Abstain from adjusting your heading leftward,don’t_left,17,,,,,,
Don't turn in the direction of the left,don’t_left,17,,,,,,
Avoid progressing in a leftward trajectory,don’t_left,17,,,,,,
Maneuver away from moving left on the path,don’t_left,17,,,,,,
Refrain from shifting your alignment to the left,don’t_left,17,,,,,,
Glide away from navigating towards the left,don’t_left,17,,,,,,
Avoid moving in a leftward motion on the path,don’t_left,17,,,,,,
Don't steer toward the left side,don’t_left,17,,,,,,
Resist veering your course leftward,don’t_left,17,,,,,,
Avoid adjusting your position in a leftward manner,don’t_left,17,,,,,,
Don't lean towards the left side,don’t_left,17,,,,,,
Slide away from heading left on the route,don’t_left,17,,,,,,
Avoid progressing in the direction of the left,don’t_left,17,,,,,,
Refrain from turning left on the route,don’t_left,17,,,,,,
Avoid steering your movement to the left,don’t_left,17,,,,,,
Glide away from moving leftward on the path,don’t_left,17,,,,,,
Resist shifting your trajectory to the left side,don’t_left,17,,,,,,
Stay clear of navigating towards the left,don’t_left,17,,,,,,
Don't maneuver in a leftward direction on your course,don’t_left,17,,,,,,
Avoid moving left on your route,don’t_left,17,,,,,,
Refrain from veering towards the left side,don’t_left,17,,,,,,
Avoid adjusting your heading in a leftward manner,don’t_left,17,,,,,,
Don't lean left on the path,don’t_left,17,,,,,,
Resist turning in the leftward direction,don’t_left,17,,,,,,
Avoid guiding your movement leftward,don’t_left,17,,,,,,
Slide away from moving left on your route,don’t_left,17,,,,,,
Stay clear of heading towards the left side,don’t_left,17,,,,,,
Refrain from tilting your position to the left,don’t_left,17,,,,,,
Avoid progressing in a leftward trajectory on the path,don’t_left,17,,,,,,
Don't steer towards the left side,don’t_left,17,,,,,,
Glide away from shifting on the straight route,don’t_left,17,,,,,,
Maneuver away from progressing towards the left,don’t_left,17,,,,,,
Avoid moving in a leftward motion on the route,don’t_left,17,,,,,,
Don't veer towards the left side of the path,don’t_left,17,,,,,,
Refrain from gliding to the left on the route,don’t_left,17,,,,,,
Avoid navigating in the direction of the left,don’t_left,17,,,,,,
Maneuver away from moving leftward on the course,don’t_left,17,,,,,,
Resist turning towards the left side,don’t_left,17,,,,,,
Don't adjust your movement leftward,don’t_left,17,,,,,,
Slide away from leaning left on the route,don’t_left,17,,,,,,
Avoid heading towards the left side,don’t_left,17,,,,,,
Refrain from tilting towards the leftward direction,don’t_left,17,,,,,,
Avoid progressing in a leftward trajectory on the path,don’t_left,17,,,,,,
Don't steer towards the left side of the route,don’t_left,17,,,,,,
Resist shifting laterally towards the left,don’t_left,17,,,,,,
Stay clear of veering your course leftward,don’t_left,17,,,,,,
Avoid shifting to the right,don’t_right,18,,,,,,
Refrain from veering toward the right side,don’t_right,18,,,,,,
Don't glide rightward,don’t_right,18,,,,,,
Steer away from a rightward direction,don’t_right,18,,,,,,
Resist moving your position to the right,don’t_right,18,,,,,,
Stay clear of a rightward motion,don’t_right,18,,,,,,
Avoid sliding to the right side,don’t_right,18,,,,,,
Don't lean to the right,don’t_right,18,,,,,,
Resist adjusting your course to the right,don’t_right,18,,,,,,
Avoid veering right,don’t_right,18,,,,,,
Refrain from maneuvering towards the right,don’t_right,18,,,,,,
Don't tilt right,don’t_right,18,,,,,,
Avoid directing yourself to the right,don’t_right,18,,,,,,
Resist shifting horizontally to the right,don’t_right,18,,,,,,
Abstain from adjusting your alignment to the right,don’t_right,18,,,,,,
Avoid turning rightward,don’t_right,18,,,,,,
Refrain from guiding your movement to the right,don’t_right,18,,,,,,
Do not head right,don’t_right,18,,,,,,
Stay away from navigating to the right side,don’t_right,18,,,,,,
Avoid offsetting your position to the right,don’t_right,18,,,,,,
Refrain from progressing towards the right,don’t_right,18,,,,,,
Don't veer off to the right,don’t_right,18,,,,,,
Avoid aligning yourself to the right,don’t_right,18,,,,,,
Don't lean in a rightward direction,don’t_right,18,,,,,,
Resist steering right,don’t_right,18,,,,,,
Avoid progressing rightward,don’t_right,18,,,,,,
Glide away from the right side,don’t_right,18,,,,,,
Don't maneuver right,don’t_right,18,,,,,,
Avoid shifting laterally to the right,don’t_right,18,,,,,,
Refrain from adjusting your heading to the right,don’t_right,18,,,,,,
Don't tilt in a rightward manner,don’t_right,18,,,,,,
Avoid turning in the right direction,don’t_right,18,,,,,,
Refrain from directing your movement to the right,don’t_right,18,,,,,,
Avoid moving horizontally to the right,don’t_right,18,,,,,,
Slide away from the rightward direction,don’t_right,18,,,,,,
Don't guide yourself to the right,don’t_right,18,,,,,,
Resist offsetting to the right side,don’t_right,18,,,,,,
Don't veer your trajectory rightward,don’t_right,18,,,,,,
Avoid shifting towards the right side,don’t_right,18,,,,,,
Refrain from leaning right,don’t_right,18,,,,,,
Resist adjusting your position to the right,don’t_right,18,,,,,,
Stay away from navigating rightward,don’t_right,18,,,,,,
Don't maneuver in a rightward direction,don’t_right,18,,,,,,
Avoid heading in a rightward trajectory,don’t_right,18,,,,,,
Glide away from progressing in a rightward motion,don’t_right,18,,,,,,
Resist turning towards the right side,don’t_right,18,,,,,,
Don't steer in a rightward manner,don’t_right,18,,,,,,
Avoid moving rightward on the path,don’t_right,18,,,,,,
Refrain from tilting to the right side,don’t_right,18,,,,,,
Avoid shifting your course to the right,don’t_right,18,,,,,,
Slide away from the right side laterally,don’t_right,18,,,,,,
Don't veer your trajectory rightward,don’t_right,18,,,,,,
Avoid guiding your movement to the right side,don’t_right,18,,,,,,
Resist leaning in a rightward direction,don’t_right,18,,,,,,
Abstain from adjusting your heading rightward,don’t_right,18,,,,,,
Don't turn in the direction of the right,don’t_right,18,,,,,,
Avoid progressing in a rightward trajectory,don’t_right,18,,,,,,
Maneuver away from moving right on the path,don’t_right,18,,,,,,
Refrain from shifting your alignment to the right,don’t_right,18,,,,,,
Glide away from navigating towards the right,don’t_right,18,,,,,,
Avoid moving in a rightward motion on the path,don’t_right,18,,,,,,
Don't steer toward the right side,don’t_right,18,,,,,,
Resist veering your course rightward,don’t_right,18,,,,,,
Avoid adjusting your position in a rightward manner,don’t_right,18,,,,,,
Don't lean towards the right side,don’t_right,18,,,,,,
Slide away from heading right on the route,don’t_right,18,,,,,,
Avoid progressing in the direction of the right,don’t_right,18,,,,,,
Refrain from turning right on the route,don’t_right,18,,,,,,
Avoid steering your movement to the right,don’t_right,18,,,,,,
Glide away from moving rightward on the path,don’t_right,18,,,,,,
Resist shifting your trajectory to the right side,don’t_right,18,,,,,,
Stay clear of navigating towards the right,don’t_right,18,,,,,,
Don't maneuver in a rightward direction on your course,don’t_right,18,,,,,,
Avoid moving right on your route,don’t_right,18,,,,,,
Refrain from veering towards the right side,don’t_right,18,,,,,,
Avoid adjusting your heading in a rightward manner,don’t_right,18,,,,,,
Don't lean right on the path,don’t_right,18,,,,,,
Resist turning in the rightward direction,don’t_right,18,,,,,,
Avoid guiding your movement rightward,don’t_right,18,,,,,,
Slide away from moving right on your route,don’t_right,18,,,,,,
Stay clear of heading towards the right side,don’t_right,18,,,,,,
Refrain from tilting your position to the right,don’t_right,18,,,,,,
Avoid progressing in a rightward trajectory on the path,don’t_right,18,,,,,,
Don't steer towards the right side,don’t_right,18,,,,,,
Glide away from shifting on the straight route,don’t_right,18,,,,,,
Maneuver away from progressing towards the right,don’t_right,18,,,,,,
Avoid moving in a rightward motion on the route,don’t_right,18,,,,,,
Don't veer towards the right side of the path,don’t_right,18,,,,,,
Refrain from gliding to the right on the route,don’t_right,18,,,,,,
Avoid navigating in the direction of the right,don’t_right,18,,,,,,
Maneuver away from moving rightward on the course,don’t_right,18,,,,,,
Resist turning towards the right side,don’t_right,18,,,,,,
Don't adjust your movement rightward,don’t_right,18,,,,,,
Slide away from leaning right on the route,don’t_right,18,,,,,,
Avoid heading towards the right side,don’t_right,18,,,,,,
Refrain from tilting towards the rightward direction,don’t_right,18,,,,,,
Avoid progressing in a rightward trajectory on the path,don’t_right,18,,,,,,
Don't steer towards the right side of the route,don’t_right,18,,,,,,
Resist shifting laterally towards the right,don’t_right,18,,,,,,
Stay clear of veering your course rightward,don’t_right,18,,,,,,
go farward,on,1,,,,,,
move back,off,2,,,,,,
turn to the left,left,5,,,,,,
head right,right,6,,,,,,
accelerate,speed_up,8,,,,,,
decelerate,slow_down,9,,,,,,
activate lights,turn_on_lights,12,,,,,,
deactivate lights,turn_off_lights,13,,,,,,
activate,on,1,,,,,,
deactivate,off,2,,,,,,
on the wheel chair,on,1,,,,,,
on,on,1,,,,,,
start,on,1,,,,,,
strat the wheel chair,on,1,,,,,,
start the chair,on,1,,,,,,
just start,on,1,,,,,,
activate,on,1,,,,,,
power up,on,1,,,,,,
wake up,on,1,,,,,,
enable,on,1,,,,,,
Start moving the wheelchair forward,forward,3,,,,,,
Start moving,forward,3,,,,,,
Move the wheelchair forward,forward,3,,,,,,
Roll the wheelchair forward,forward,3,,,,,,
Drive the wheelchair forward,forward,3,,,,,,
Initiate the wheelchair,forward,3,,,,,,
Engage the wheelchair,forward,3,,,,,,
Enable the wheelchair,forward,3,,,,,,
Initiate wheelchair movement,forward,3,,,,,,
activate the motors,on,1,,,,,,
Confirm to start,on,1,,,,,,
power on,on,1,,,,,,
Bring to a start,on,1,,,,,,
go farward,on,1,,,,,,
move front,on,1,,,,,,
start move forward,on,1,,,,,,
start move backward,on,1,,,,,,
machine off,forward,3,,,,,,
go inside,forward,3,,,,,,
establisment system,forward,3,,,,,,
Bring to a halt,back,4,,,,,,
Discontinue,off,2,,,,,,
De-energize,on,1,,,,,,
Finish,on,1,,,,,,
Hold,on,1,,,,,,
Stand still,off,2,,,,,,
Power off now,off,2,,,,,,
Disable navigation,off,2,,,,,,
Bring to a stop,off,2,,,,,,
Disengage,off,2,,,,,,
Zero Motion,off,2,,,,,,
Neutral,off,2,,,,,,
Suspend,off,2,,,,,,
Rest,off,2,,,,,,
Turn Inactive,off,2,,,,,,
Park,off,2,,,,,,
Complete stop,off,2,,,,,,
Switch off the wheelchair,off,2,,,,,,
Switch Off,off,2,,,,,,
Power Down,off,2,,,,,,
Pause & Resume,off,2,,,,,,
Emergency stop,off,2,,,,,,
Stop,off,2,,,,,,
Turn off,off,2,,,,,,
stop the wheelchair,off,2,,,,,,
Shutdown,off,2,,,,,,
off,off,2,,,,,,
power-saving mode,off,2,,,,,,
Confirm shutdown,off,2,,,,,,
Stop at the Place,off,2,,,,,,
Sleep,off,2,,,,,,
Lock Position,off,2,,,,,,
Disable the drive,off,2,,,,,,
Deactivate the motors,off,2,,,,,,
Move forward,off,2,,,,,,
Accelerate,off,2,,,,,,
Turn to the right,off,2,,,,,,
Decelerate,off,2,,,,,,
Activate lights,turn_off_lights,13,,,,,,
Turn left,right,6,,,,,,
Stop,speed_up,8,,,,,,
Turn on lights,turn_off_lights,13,,,,,,
Go backward,left,5,,,,,,
Power up,on,1,,,,,,
Turn off lights,u-turn,14,,,,,,
Start the car,on,1,,,,,,
Turn right,stop,7,,,,,,
Slow down,slight_left,10,,,,,,
Activate,on,1,,,,,,
Deactivate,forward,3,,,,,,
On the wheel chair,on,1,,,,,,
On,on,1,,,,,,
Start,on,1,,,,,,
Strat the wheel chair,on,1,,,,,,
Start the chair,on,1,,,,,,
Just start,on,1,,,,,,
Enable,on,1,,,,,,
Power on,on,1,,,,,,
Bring to a start,on,1,,,,,,
Go farward,back,4,,,,,,
Move front,back,4,,,,,,
Start move forward,back,4,,,,,,
Start move backward,left,5,,,,,,
Discontinue,forward,3,,,,,,
De-energize,forward,3,,,,,,
Finish,forward,3,,,,,,
Hold,forward,3,,,,,,
Stand still,forward,3,,,,,,
Power off now,forward,3,,,,,,
Disable navigation,forward,3,,,,,,
Bring to a stop,forward,3,,,,,,
Disengage,forward,3,,,,,,
Neutral,forward,3,,,,,,
Suspend,forward,3,,,,,,
Rest,forward,3,,,,,,
Turn Inactive,forward,3,,,,,,
Park,forward,3,,,,,,
Complete stop,forward,3,,,,,,
Switch off the wheelchair,forward,3,,,,,,
Switch Off,forward,3,,,,,,
Power Down,forward,3,,,,,,
Pause & Resume,forward,3,,,,,,
Emergency stop,forward,3,,,,,,
Stop,forward,3,,,,,,
Turn off,forward,3,,,,,,
Stop the wheelchair,forward,3,,,,,,
Shutdown,forward,3,,,,,,
Off,forward,3,,,,,,
Power-saving mode,forward,3,,,,,,
Confirm shutdown,forward,3,,,,,,
Stop at the place,forward,3,,,,,,
Sleep,forward,3,,,,,,
Lock Position,forward,3,,,,,,
Disable the drive,forward,3,,,,,,
Deactivate the motors,forward,3,,,,,,
Proceed forward,back,4,,,,,,
Move ahead,back,4,,,,,,
Drive onward,back,4,,,,,,
Continue straight,back,4,,,,,,
Keep going forward,back,4,,,,,,
Move in reverse,left,5,,,,,,
Drive back,left,5,,,,,,
Take a left,right,6,,,,,,
Bear left,right,6,,,,,,
Turn to the left side,right,6,,,,,,
Make a left turn,right,6,,,,,,
Take a right,stop,7,,,,,,
Bear right,stop,7,,,,,,
Turn to the right side,stop,7,,,,,,
Make a right turn,stop,7,,,,,,
Brake,speed_up,8,,,,,,
Pull over,speed_up,8,,,,,,
Go faster,slow_down,9,,,,,,
Increase speed,slow_down,9,,,,,,
Reduce speed,slight_left,10,,,,,,
Decelerate,slight_left,10,,,,,,
Slow down,slight_left,10,,,,,,
Go slower,slight_left,10,,,,,,
Activate lights,turn_off_lights,13,,,,,,
Turn on the lights,turn_off_lights,13,,,,,,
Switch on the headlights,turn_off_lights,13,,,,,,
Light up the road,turn_off_lights,13,,,,,,
Deactivate lights,u-turn,14,,,,,,
Move the wheelchair forward,back,4,,,,,,
Maintain the current direction of the wheelchair,back,4,,,,,,
Move the wheelchair forward,back,4,,,,,,
Move the wheelchair backward,left,5,,,,,,
Turn the wheelchair left,right,6,,,,,,
Turn the wheelchair right,stop,7,,,,,,
Stop the wheelchair completely,speed_up,8,,,,,,
Stop the wheelchair,speed_up,8,,,,,,
Stop the wheelchair and move to the side,speed_up,8,,,,,,
Increase the speed of the wheelchair,slow_down,9,,,,,,
Decrease the speed of the wheelchair,slight_left,10,,,,,,
Turn on the headlights,turn_off_lights,13,,,,,,
Turn off the headlights,u-turn,14,,,,,,
Turn around,u-turn,14,,,,,,
Turn slightly left,slight_right,11,,,,,,
Turn slightly right,turn_on_lights,12,,,,,,
Tilt forward,back,4,,,,,,
Tilt backward,left,5,,,,,,
Lock wheels,speed_up,8,,,,,,
Unlock wheels,on,1,,,,,,
Pause,speed_up,8,,,,,,
Resume,speed_up,8,,,,,,
Rotate the wheelchair 180 degrees,u-turn,14,,,,,,
Engage the brakes to prevent movement,speed_up,8,,,,,,
Release the brakes to allow movement,back,4,,,,,,