x,y
go straight down the road,3
proceed in a straight line,3
move forward without turning,3
continue straight ahead on this path,3
head directly down the street,3
stay on the straight and narrow,3
travel straight without any deviations,3
follow the route in a straight line,3
maintain your course straight ahead,3
move as far as you can see,3
proceed straight along the way,3
move on the direct path,3
keep on the direct path,3
continue forward without making any turns,3
head straight toward your destination,3
stay on the unswerving route,3
move straight along the trail,3
follow the road without turning left or right,3
go ahead without veering off course,3
move on the straight and clear route,3
continue in a straight trajectory,3
head straight down the avenue,3
stay true to the straight path,3
move directly towards your goal,3
move on the straight route,3
proceed straightforwardly,3
go straight on this thoroughfare,3
continue along the straight road,3
head straight down the boulevard,3
follow the straight line on the map,3
move in a straight line without deviation,3
stay on the direct course,3
go straight down the corridor,3
proceed straight through the intersection,3
move straight ahead without hesitation,3
keep to the straight and clear road,3
follow the unbroken line ahead,3
maintain your course without deviations,3
move straight with confidence,3
continue in a straight line without interruptions,3
head straight through the city,3
stay on the straightforward route,3
move directly towards the goal,3
go straight past the landmarks,3
proceed straight through the urban landscape,3
move forward without turning aside,3
follow the straight trail ahead,3
head straight across the bridge,3
stay on the clear path without turning,3
move in a straight line through the park,3
continue in a straight trajectory,3
go straight past the crossroads,3
maintain a direct course,3
head straight through the neighborhood,3
stay true to the straight road,3
move directly along the established route,3
follow the unswerving path,3
go ahead without veering off the straight line,3
keep on the undeviating course,3
proceed straight along the riverbank,3
move directly through the woods,3
continue straight without distractions,3
head straight past the landmarks,3
stay on the direct route without deviation,3
move straightforwardly through the countryside,3
go straight towards the mountain,3
keep on the straight and narrow path,3
follow the straight line on the horizon,3
head directly to the coastline,3
stay on the straight highway,3
move in a straight line through the desert,3
continue straight across the plains,3
go ahead without turning in any direction,3
keep to the unswerving trail,3
proceed straight along the beach,3
head straight through the canyon,3
stay true to the straight street,3
move directly through the valley,3
go straight under the clear sky,3
keep on the straight course through the forest,3
follow the unbroken line on the map,3
maintain your course straight ahead,3
move directly along the river,3
continue straight across the meadow,3
head straight through the wilderness,3
stay on the direct path to your destination,3
go straight along the seashore,3
proceed straightforwardly through the hills,3
move forward without detours,3
follow the straight track through the city,3
head straight past the fields,3
stay on the straight road through the countryside,3
move directly along the railway tracks,3
go straight to your final destination,3
retreat,4
move rearward,4
go in reverse,4
backtrack,4
reverse your direction,4
withdraw,4
step back,4
regress,4
move in a backward motion,4
take a step back,4
go backward,4
shift to the rear,4
reverse course,4
retreat backward,4
move away from the front,4
move in the opposite direction,4
step in reverse,4
withdrawal,4
move towards the rear,4
back away,4
go in a backward trajectory,4
move back from your current position,4
go rearward,4
fall back,4
retrace your steps,4
move towards the back,4
draw back,4
recede,4
take a backward step,4
move back along the path,4
step away from the forward direction,4
reverse your movement,4
retreat from the current position,4
go back,4
shift to the back,4
move to the rear,4
pull back,4
move in the opposite direction from the front,4
retreat to a previous location,4
step in the opposite direction,4
move in a rearward motion,4
withdraw from the front,4
fall behind,4
take steps backward,4
go in the reverse direction,4
retreat from the current point,4
step back from the current position,4
move toward the rear,4
shift away from the front,4
go in a backward trajectory,4
withdraw yourself,4
take a step away from the forward direction,4
move in the opposite path,4
retreat along the path,4
step back from the current location,4
go back from the current point,4
move in a rearward direction,4
draw away from the front,4
step backward on the path,4
retreat to a preceding point,4
move away from the forward trajectory,4
go in the opposite way,4
retreat to a previous spot,4
move in the direction opposite to forward,4
fall back from the current position,4
withdraw to a prior location,4
take steps in a backward motion,4
move in the reverse trajectory,4
step back to a previous spot,4
go away from the front,4
retreat from the current spot,4
move in a rearward trajectory,4
retreat along the route,4
shift backward from the current location,4
step away from the forward trajectory,4
move in the opposite course,4
withdraw to a preceding point,4
go back from the current place,4
retreat to a former location,4
move in a backward path,4
step back from the present position,4
go in the reverse course,4
move to the rear from the current point,4
retreat from the current spot,4
withdraw to a prior spot,4
take steps in the opposite direction,4
move away from the front direction,4
retreat along the route taken,4
step backward on the path traveled,4
go back to a previous point,4
move in a rearward motion,4
retreat to a former point,4
fall back from the present position,4
withdraw to a preceding spot,4
take steps in the reverse direction,4
move in the opposite way from forward,4
retreat along the course traveled,4
step back to a former spot,4
go away from the forward trajectory,4
move in the reverse path,4
sidestep to the left,5
veer toward the left side,5
glide leftward,5
steer in a leftward direction,5
shift your position to the left,5
move in a leftward motion,5
slide to the left,5
lean to the left,5
adjust your course to the left,5
veer left,5
maneuver towards the left,5
tilt left,5
direct yourself to the left,5
shift horizontally to the left,5
adjust your alignment to the left,5
turn leftward,5
guide your movement to the left,5
head left,5
navigate to the left side,5
offset your position to the left,5
progress towards the left,5
veer off to the left,5
align yourself to the left,5
lean in a leftward direction,5
steer left,5
progress leftward,5
glide towards the left side,5
maneuver left,5
shift laterally to the left,5
adjust your heading to the left,5
tilt in a leftward manner,5
turn in the left direction,5
direct your movement to the left,5
move horizontally to the left,5
slide leftward,5
guide yourself to the left,5
offset to the left side,5
veer your trajectory leftward,5
shift towards the left side,5
lean left,5
adjust your position to the left,5
navigate leftward,5
maneuver in a leftward direction,5
head in a leftward trajectory,5
glide to the left side,5
progress in a leftward motion,5
turn towards the left side,5
steer in a leftward manner,5
move leftward on the path,5
tilt to the left side,5
shift your course to the left,5
slide laterally to the left,5
veer left on your route,5
guide your trajectory to the left side,5
lean in a leftward direction,5
adjust your heading leftward,5
turn in the direction of the left,5
progress in a leftward trajectory,5
maneuver left on the path,5
shift your alignment to the left,5
glide to the left on your course,5
navigate in the leftward direction,5
move in a leftward motion on the path,5
steer toward the left side,5
veer your course leftward,5
adjust your position in a leftward manner,5
lean towards the left side,5
slide towards the left on your route,5
head in a leftward trajectory,5
tilt leftward on your path,5
move to the left side,5
progress in the direction of the left,5
turn left on the route,5
steer your movement to the left,5
glide leftward on the path,5
shift your trajectory to the left side,5
navigate towards the left,5
maneuver in a leftward direction on your course,5
move left on your route,5
veer towards the left side,5
adjust your heading in a leftward manner,5
lean left on the path,5
turn in the leftward direction,5
guide your movement leftward,5
slide left on the route,5
head towards the left side,5
tilt your position to the left,5
progress in a leftward trajectory on the path,5
steer in the direction of the left side,5
shift leftward on your course,5
move in a leftward motion on the route,5
veer towards the left side of the path,5
glide to the left on the route,5
navigate in the direction of the left,5
maneuver leftward on the course,5
turn towards the left side,5
adjust your movement leftward,5
lean left on the route,5
slide to the left side,5
head in a leftward direction on the path,5
slide to the right,6
veer toward the right side,6
glide rightward,6
steer in a rightward direction,6
shift your position to the right,6
move in a rightward motion,6
slide to the right side,6
lean to the right,6
adjust your course to the right,6
veer right,6
maneuver towards the right,6
tilt right,6
direct yourself to the right,6
shift horizontally to the right,6
adjust your alignment to the right,6
turn rightward,6
guide your movement to the right,6
head right,6
navigate to the right side,6
offset your position to the right,6
progress towards the right,6
veer off to the right,6
align yourself to the right,6
lean in a rightward direction,6
steer right,6
progress rightward,6
glide towards the right side,6
maneuver right,6
shift laterally to the right,6
adjust your heading to the right,6
tilt in a rightward manner,6
turn in the right direction,6
direct your movement to the right,6
move horizontally to the right,6
slide rightward,6
guide yourself to the right,6
offset to the right side,6
veer your trajectory rightward,6
shift towards the right side,6
lean right,6
adjust your position to the right,6
navigate rightward,6
maneuver in a rightward direction,6
head in a rightward trajectory,6
glide to the right side,6
progress in a rightward motion,6
turn towards the right side,6
steer in a rightward manner,6
move rightward on the path,6
tilt to the right side,6
shift your course to the right,6
slide laterally to the right,6
veer right on your route,6
guide your trajectory to the right side,6
lean in a rightward direction,6
adjust your heading rightward,6
turn in the right direction,6
progress in a rightward trajectory,6
maneuver right on the path,6
shift your alignment to the right,6
glide to the right on your course,6
navigate in the rightward direction,6
move in a rightward motion on the path,6
steer toward the right side,6
veer your course rightward,6
adjust your position in a rightward manner,6
lean towards the right side,6
slide towards the right on your route,6
head in a rightward trajectory,6
tilt rightward on your path,6
move to the right side,6
progress in the direction of the right,6
turn right on the route,6
steer your movement to the right,6
glide rightward on the path,6
shift your trajectory to the right side,6
navigate towards the right,6
maneuver in a rightward direction on your course,6
move right on your route,6
veer towards the right side,6
adjust your heading in a rightward manner,6
lean right on the path,6
turn in the rightward direction,6
guide your movement to the right,6
slide right on the route,6
head towards the right side,6
tilt your position to the right,6
progress in a rightward trajectory on the path,6
steer in the direction of the right side,6
shift rightward on your course,6
move in a rightward motion on the route,6
veer towards the right side of the path,6
glide to the right on the route,6
navigate in the direction of the right,6
maneuver rightward on the course,6
turn towards the right side,6
adjust your movement rightward,6
lean right on the route,6
slide to the right side,6
head in a rightward direction on the path,6
don't go straight down the road,15
avoid proceeding in a straight line,15
refrain from moving forward without turning,15
don't continue straight ahead on this path,15
avoid heading directly down the street,15
stray from the straight and narrow,15
don't travel straight without any deviations,15
ignore following the route in a straight line,15
veer away from maintaining your course straight ahead,15
don't move as far as you can see,15
avoid proceeding straight along the way,15
don't move on the direct path,15
avoid keeping on the direct path,15
refrain from continuing forward without making any turns,15
don't head straight toward your destination,15
stray from staying on the unswerving route,15
avoid moving straight along the trail,15
don't follow the road without turning left or right,15
veer off from going ahead without deviating off course,15
refrain from moving on the straight and clear route,15
don't continue in a straight trajectory,15
avoid heading straight down the avenue,15
stray from staying true to the straight path,15
avoid moving directly towards your goal,15
refrain from moving on the straight route,15
don't proceed straightforwardly,15
avoid going straight on this thoroughfare,15
refrain from continuing along the straight road,15
don't head straight down the boulevard,15
ignore following the straight line on the map,15
refrain from moving in a straight line without deviation,15
stay off the direct course,15
don't go straight down the corridor,15
avoid proceeding straight through the intersection,15
refrain from moving straight ahead without hesitation,15
don't keep to the straight and clear road,15
stray from following the unbroken line ahead,15
avoid maintaining your course without deviations,15
don't move straight with confidence,15
refrain from continuing in a straight line without interruptions,15
avoid heading straight through the city,15
stay off the straightforward route,15
don't move directly towards the goal,15
avoid going straight past the landmarks,15
refrain from proceeding straight through the urban landscape,15
don't move forward without turning aside,15
stray from following the straight trail ahead,15
avoid heading straight across the bridge,15
refrain from staying on the clear path without turning,15
don't move in a straight line through the park,15
avoid continuing in a straight trajectory,15
refrain from going straight past the crossroads,15
stray from maintaining a direct course,15
avoid heading straight through the neighborhood,15
don't stay true to the straight road,15
refrain from moving directly along the established route,15
avoid following the unswerving path,15
don't go ahead without veering off the straight line,15
stray from keeping on the undeviating course,15
refrain from proceeding straight along the riverbank,15
don't move directly through the woods,15
avoid continuing straight without distractions,15
refrain from heading straight past the landmarks,15
don't stay on the direct route without deviation,15
avoid moving straightforwardly through the countryside,15
don't go straight towards the mountain,15
stray from keeping on the straight and narrow path,15
avoid following the straight line on the horizon,15
refrain from heading directly to the coastline,15
don't stay on the straight highway,15
avoid moving in a straight line through the desert,15
refrain from continuing straight across the plains,15
don't go ahead without turning in any direction,15
stray from keeping to the unswerving trail,15
avoid proceeding straight along the beach,15
don't head straight through the canyon,15
refrain from staying true to the straight street,15
avoid moving directly through the valley,15
don't go straight under the clear sky,15
stray from keeping on the straight course through the forest,15
refrain from following the unbroken line on the map,15
avoid maintaining your course straight ahead,15
don't move directly along the river,15
stray from continuing straight across the meadow,15
avoid heading straight through the wilderness,15
refrain from staying on the direct path to your destination,15
don't go straight along the seashore,15
stray from proceeding straightforwardly through the hills,15
avoid moving forward without detours,15
refrain from following the straight track through the city,15
don't head straight past the fields,15
avoid staying on the straight road through the countryside,15
stray from moving directly along the railway tracks,15
refrain from going straight to your final destination,15
avoid retreating,16
refrain from moving rearward,16
don't go in reverse,16
resist backtracking,16
avoid reversing your direction,16
stay where you are,16
don't step back,16
avoid regressing,16
refrain from moving in a backward motion,16
resist taking a step back,16
avoid going backward,16
stay in your current position,16
don't reverse course,16
refrain from retreating backward,16
avoid moving away from the front,16
don't move in the opposite direction,16
resist stepping in reverse,16
refrain from withdrawal,16
avoid moving towards the rear,16
don't back away,16
resist going in a backward trajectory,16
avoid moving back from your current position,16
don't go rearward,16
stay where you are or move forward,16
resist falling back,16
avoid retracing your steps,16
don't move towards the back,16
refrain from drawing back,16
stay in your current position or move forward,16
don't move back along the path,16
avoid stepping away from the forward direction,16
resist reversing your movement,16
refrain from retreating from the current position,16
don't go back,16
stay in your current position or shift forward,16
avoid moving to the back,16
don't pull back,16
refrain from moving in the opposite direction from the front,16
avoid retreating to a previous location,16
don't step in the opposite direction,16
resist moving in a rearward motion,16
avoid withdrawing from the front,16
stay where you are or fall behind,16
don't take steps backward,16
resist going in the reverse direction,16
refrain from retreating from the current point,16
don't step back from the current position,16
avoid moving toward the rear,16
stay in your current position or shift away from the front,16
don't go in a backward trajectory,16
resist withdrawing yourself,16
avoid taking a step away from the forward direction,16
refrain from moving in the opposite path,16
avoid retreating along the path,16
don't step back from the current location,16
resist going back from the current point,16
refrain from moving in a rearward direction,16
avoid drawing away from the front,16
stay where you are or step backward on the path,16
avoid retreating to a preceding point,16
don't move away from the forward trajectory,16
resist going in the opposite way,16
avoid retreating to a previous spot,16
don't move in the direction opposite to forward,16
stay in your current position or fall back from the current position,16
refrain from withdrawing to a prior location,16
avoid taking steps in a backward motion,16
don't move in the reverse trajectory,16
resist stepping back to a previous spot,16
avoid going away from the front,16
stay in your current position or retreat from the current spot,16
don't move in a rearward trajectory,16
resist retreating along the route,16
avoid shifting backward from the current location,16
don't step away from the forward trajectory,16
avoid moving in the opposite course,16
stay in your current position or withdraw to a preceding point,16
don't go back from the current place,16
resist retreating to a former location,16
avoid moving in a backward path,16
stay in your present position or step back from the present position,16
don't go in the reverse course,16
avoid moving to the rear from the current point,16
stay in your current position or retreat from the current spot,16
refrain from withdrawing to a prior spot,16
don't take steps in the reverse direction,16
resist moving away from the front direction,16
avoid retreating along the route taken,16
stay where you are or step backward on the path traveled,16
avoid going back to a previous point,16
don't move in a rearward motion,16
stay in your current position or retreat to a former point,16
resist falling back from the present position,16
avoid withdrawing to a preceding spot,16
don't take steps in the reverse direction,16
refrain from moving in the opposite way from forward,16
avoid retreating along the course traveled,16
stay in your current position or step back to a former spot,16
don't go away from the forward trajectory,16
avoid moving in the reverse path,16
avoid shifting to the left,17
refrain from veering toward the left side,17
don't glide leftward,17
steer away from a leftward direction,17
resist moving your position to the left,17
stay clear of a leftward motion,17
avoid sliding to the left,17
don't lean to the left,17
resist adjusting your course to the left,17
avoid veering left,17
refrain from maneuvering towards the left,17
don't tilt left,17
avoid directing yourself to the left,17
resist shifting horizontally to the left,17
abstain from adjusting your alignment to the left,17
avoid turning leftward,17
refrain from guiding your movement to the left,17
do not head left,17
stay away from navigating to the left side,17
avoid offsetting your position to the left,17
refrain from progressing towards the left,17
don't veer off to the left,17
avoid aligning yourself to the left,17
don't lean in a leftward direction,17
resist steering left,17
avoid progressing leftward,17
glide away from the left side,17
don't maneuver left,17
avoid shifting laterally to the left,17
refrain from adjusting your heading to the left,17
don't tilt in a leftward manner,17
avoid turning in the left direction,17
refrain from directing your movement to the left,17
avoid moving horizontally to the left,17
slide away from the leftward direction,17
don't guide yourself to the left,17
resist offsetting to the left side,17
don't veer your trajectory leftward,17
avoid shifting towards the left side,17
refrain from leaning left,17
resist adjusting your position to the left,17
stay away from navigating leftward,17
don't maneuver in a leftward direction,17
avoid heading in a leftward trajectory,17
glide away from progressing in a leftward motion,17
resist turning towards the left side,17
don't steer in a leftward manner,17
avoid moving leftward on the path,17
refrain from tilting to the left side,17
avoid shifting your course to the left,17
slide away from the left side laterally,17
don't veer your trajectory leftward,17
avoid guiding your movement to the left side,17
resist leaning in a leftward direction,17
abstain from adjusting your heading leftward,17
don't turn in the direction of the left,17
avoid progressing in a leftward trajectory,17
maneuver away from moving left on the path,17
refrain from shifting your alignment to the left,17
glide away from navigating towards the left,17
avoid moving in a leftward motion on the path,17
don't steer toward the left side,17
resist veering your course leftward,17
avoid adjusting your position in a leftward manner,17
don't lean towards the left side,17
slide away from heading left on the route,17
avoid progressing in the direction of the left,17
refrain from turning left on the route,17
avoid steering your movement to the left,17
glide away from moving leftward on the path,17
resist shifting your trajectory to the left side,17
stay clear of navigating towards the left,17
don't maneuver in a leftward direction on your course,17
avoid moving left on your route,17
refrain from veering towards the left side,17
avoid adjusting your heading in a leftward manner,17
don't lean left on the path,17
resist turning in the leftward direction,17
avoid guiding your movement leftward,17
slide away from moving left on your route,17
stay clear of heading towards the left side,17
refrain from tilting your position to the left,17
avoid progressing in a leftward trajectory on the path,17
don't steer towards the left side,17
glide away from shifting on the straight route,17
maneuver away from progressing towards the left,17
avoid moving in a leftward motion on the route,17
don't veer towards the left side of the path,17
refrain from gliding to the left on the route,17
avoid navigating in the direction of the left,17
maneuver away from moving leftward on the course,17
resist turning towards the left side,17
don't adjust your movement leftward,17
slide away from leaning left on the route,17
avoid heading towards the left side,17
refrain from tilting towards the leftward direction,17
avoid progressing in a leftward trajectory on the path,17
don't steer towards the left side of the route,17
resist shifting laterally towards the left,17
stay clear of veering your course leftward,17
avoid shifting to the right,18
refrain from veering toward the right side,18
don't glide rightward,18
steer away from a rightward direction,18
resist moving your position to the right,18
stay clear of a rightward motion,18
avoid sliding to the right side,18
don't lean to the right,18
resist adjusting your course to the right,18
avoid veering right,18
refrain from maneuvering towards the right,18
don't tilt right,18
avoid directing yourself to the right,18
resist shifting horizontally to the right,18
abstain from adjusting your alignment to the right,18
avoid turning rightward,18
refrain from guiding your movement to the right,18
do not head right,18
stay away from navigating to the right side,18
avoid offsetting your position to the right,18
refrain from progressing towards the right,18
don't veer off to the right,18
avoid aligning yourself to the right,18
don't lean in a rightward direction,18
resist steering right,18
avoid progressing rightward,18
glide away from the right side,18
don't maneuver right,18
avoid shifting laterally to the right,18
refrain from adjusting your heading to the right,18
don't tilt in a rightward manner,18
avoid turning in the right direction,18
refrain from directing your movement to the right,18
avoid moving horizontally to the right,18
slide away from the rightward direction,18
don't guide yourself to the right,18
resist offsetting to the right side,18
don't veer your trajectory rightward,18
avoid shifting towards the right side,18
refrain from leaning right,18
resist adjusting your position to the right,18
stay away from navigating rightward,18
don't maneuver in a rightward direction,18
avoid heading in a rightward trajectory,18
glide away from progressing in a rightward motion,18
resist turning towards the right side,18
don't steer in a rightward manner,18
avoid moving rightward on the path,18
refrain from tilting to the right side,18
avoid shifting your course to the right,18
slide away from the right side laterally,18
don't veer your trajectory rightward,18
avoid guiding your movement to the right side,18
resist leaning in a rightward direction,18
abstain from adjusting your heading rightward,18
don't turn in the direction of the right,18
avoid progressing in a rightward trajectory,18
maneuver away from moving right on the path,18
refrain from shifting your alignment to the right,18
glide away from navigating towards the right,18
avoid moving in a rightward motion on the path,18
don't steer toward the right side,18
resist veering your course rightward,18
avoid adjusting your position in a rightward manner,18
don't lean towards the right side,18
slide away from heading right on the route,18
avoid progressing in the direction of the right,18
refrain from turning right on the route,18
avoid steering your movement to the right,18
glide away from moving rightward on the path,18
resist shifting your trajectory to the right side,18
stay clear of navigating towards the right,18
don't maneuver in a rightward direction on your course,18
avoid moving right on your route,18
refrain from veering towards the right side,18
avoid adjusting your heading in a rightward manner,18
don't lean right on the path,18
resist turning in the rightward direction,18
avoid guiding your movement rightward,18
slide away from moving right on your route,18
stay clear of heading towards the right side,18
refrain from tilting your position to the right,18
avoid progressing in a rightward trajectory on the path,18
don't steer towards the right side,18
glide away from shifting on the straight route,18
maneuver away from progressing towards the right,18
avoid moving in a rightward motion on the route,18
don't veer towards the right side of the path,18
refrain from gliding to the right on the route,18
avoid navigating in the direction of the right,18
maneuver away from moving rightward on the course,18
resist turning towards the right side,18
don't adjust your movement rightward,18
slide away from leaning right on the route,18
avoid heading towards the right side,18
refrain from tilting towards the rightward direction,18
avoid progressing in a rightward trajectory on the path,18
don't steer towards the right side of the route,18
resist shifting laterally towards the right,18
stay clear of veering your course rightward,18
go farward,1
move back,2
turn to the left,5
head right,6
accelerate,8
decelerate,9
activate lights,12
deactivate lights,13
activate,1
deactivate,2
on the wheel chair,1
on,1
start,1
strat the wheel chair,1
start the chair,1
just start,1
activate,1
power up,1
wake up,1
enable,1
start moving the wheelchair forward,3
start moving,3
move the wheelchair forward,3
roll the wheelchair forward,3
drive the wheelchair forward,3
initiate the wheelchair,3
engage the wheelchair,3
enable the wheelchair,3
initiate wheelchair movement,3
activate the motors,1
confirm to start,1
power on,1
bring to a start,1
go farward,1
move front,1
start move forward,1
start move backward,1
machine off,3
go inside,3
establisment system,3
bring to a halt,4
discontinue,2
de energize,1
finish,1
hold,1
stand still,2
power off now,2
disable navigation,2
bring to a stop,2
disengage,2
zero motion,2
neutral,2
suspend,2
rest,2
turn inactive,2
park,2
complete stop,2
switch off the wheelchair,2
switch off,2
power down,2
pause   resume,2
emergency stop,2
stop,2
turn off,2
stop the wheelchair,2
shutdown,2
off,2
power saving mode,2
confirm shutdown,2
stop at the place,2
sleep,2
lock position,2
disable the drive,2
deactivate the motors,2
move forward,2
accelerate,2
turn to the right,2
decelerate,2
activate lights,13
turn left,6
stop,8
turn on lights,13
go backward,5
power up,1
turn off lights,14
start the car,1
turn right,7
slow down,10
activate,1
deactivate,3
on the wheel chair,1
on,1
start,1
strat the wheel chair,1
start the chair,1
just start,1
enable,1
power on,1
bring to a start,1
go farward,4
move front,4
start move forward,4
start move backward,5
discontinue,3
de energize,3
finish,3
hold,3
stand still,3
power off now,3
disable navigation,3
bring to a stop,3
disengage,3
neutral,3
suspend,3
rest,3
turn inactive,3
park,3
complete stop,3
switch off the wheelchair,3
switch off,3
power down,3
pause   resume,3
emergency stop,3
stop,3
turn off,3
stop the wheelchair,3
shutdown,3
off,3
power saving mode,3
confirm shutdown,3
stop at the place,3
sleep,3
lock position,3
disable the drive,3
deactivate the motors,3
proceed forward,4
move ahead,4
drive onward,4
continue straight,4
keep going forward,4
move in reverse,5
drive back,5
take a left,6
bear left,6
turn to the left side,6
make a left turn,6
take a right,7
bear right,7
turn to the right side,7
make a right turn,7
brake,8
pull over,8
go faster,9
increase speed,9
reduce speed,10
decelerate,10
slow down,10
go slower,10
activate lights,13
turn on the lights,13
switch on the headlights,13
light up the road,13
deactivate lights,14
move the wheelchair forward,4
maintain the current direction of the wheelchair,4
move the wheelchair forward,4
move the wheelchair backward,5
turn the wheelchair left,6
turn the wheelchair right,7
stop the wheelchair completely,8
stop the wheelchair,8
stop the wheelchair and move to the side,8
increase the speed of the wheelchair,9
decrease the speed of the wheelchair,10
turn on the headlights,13
turn off the headlights,14
turn around,14
turn slightly left,11
turn slightly right,12
tilt forward,4
tilt backward,5
lock wheels,8
unlock wheels,1
pause,8
resume,8
rotate the wheelchair 180 degrees,14
engage the brakes to prevent movement,8
release the brakes to allow movement,4
go to the canteen,19
proceed to the canteen,19
move to the canteen,19
head to the canteen,19
walk to the canteen,19
travel to the canteen,19
make your way to the canteen,19
navigate to the canteen,19
go towards the canteen,19
head towards the canteen,19
move towards the canteen,19
walk towards the canteen,19
proceed towards the canteen,19
make your way towards the canteen,19
find your way to the canteen,19
head directly to the canteen,19
take a trip to the canteen,19
march to the canteen,19
stroll to the canteen,19
journey to the canteen,19
advance to the canteen,19
go in the direction of the canteen,19
walk in the direction of the canteen,19
move in the direction of the canteen,19
head in the direction of the canteen,19
proceed in the direction of the canteen,19
find the canteen,19
locate the canteen,19
head over to the canteen,19
move over to the canteen,19
walk over to the canteen,19
make your way over to the canteen,19
navigate over to the canteen,19
go straight to the canteen,19
go directly to the canteen,19
go immediately to the canteen,19
proceed directly to the canteen,19
head straight to the canteen,19
go right to the canteen,19
walk directly to the canteen,19
move directly to the canteen,19
head right to the canteen,19
head immediately to the canteen,19
proceed immediately to the canteen,19
walk right to the canteen,19
move right to the canteen,19
proceed right to the canteen,19
